hypothesis,references
What was the name of the Mongolian ruler?,['What was the name of the person who was the first person to use the Kuznets curve in the world?']
When did the European Coal and Steel Community begin?,['What is the name of the area that is home to the largest concentration of natural gas?']
What was the name of the model used by the French?,['What is the name of the model used by the French to describe the process of re-establishing the equilibrium between the two groups?']
"What does the term ""civil disobedience"" mean?","['What does the term ""civil disobedience"" mean to the people who use it?']"
Who is responsible for the increase in the size of the population?,['What was the name of the group that was responsible for the increase in the size of the population?']
When was the Office of Western Medicine founded?,['In what year was the Office of Western Medicine established?']
Who was the founder of modern community organizing?,['Who was the founder of the modern community organizing movement in the late 1950s?']
Where is the V&A located?,['What is the name of the area in which the V&A is located?']
What is one way in which one can get the most out of a student?,['What is one way in which the majority of the population of the U.S. is affected by the decision problem?']
When was the German Mass published?,['In what year did H.W. Wembly determine the cause of death for the sick man?']
Who designed the two Cast Courts?,['What was the name of the new version of The Book of Common Prayer that was created by John Wesley?']
What is the minimum amount of time required by the algorithm?,['What is the minimum amount of time required for an algorithm to be effective?']
What do chloroplasts do?,"['What does the term ""chloroplastome"" refer to?']"
What does the acronym BAU stand for?,['What is the name of the video game that allows the European Commission to take action against a member of the Union?']
When was the final year of the Second Polish Republic?,['What year was the last year of the Second Polish Republic in existence?']
In what part of the world are ctenophores found?,"['In what part of the world is the ""wir glauben all an einen Gott"" a common feature of?']"
When did the first episode of Doctor Who appear?,['In what century was the first episode of Doctor Who shown to be effective?']
Who was the original host of Who Wants to Be a Millionaire?,['Who was the original host of Who Wants to Be A Millionaire?']
Who was the first president of the U.S.?,['Who was the president of the United States at the time of the launch of the first manned flight?']
Who designed the Salamanca?,['What was the name of the company that was responsible for the invention of the steam engine?']
What is the term for the movement of water between the two main reservoirs?,['What is the term used to describe the movement of water between the three main reservoirs of the earth?']
The emphasis on spiritual mentorship was what?,['What was the name of the person who was responsible for the creation of the county corporate in the 14th century?']
What does the TAR stand for?,['What is the official name of the organization that regulates the use of energy in the United States?']
Who was responsible for the creation of the Duchy of Normandy?,['What was the name of the city where the city of Normandy was founded?']
What is another name for the Daleks?,['What are the names of the three-man spacecraft used by the US Department of Defense?']
What is the most widely accepted theory of the existence of the human body?,['What is one of the ways in which a person can be highly qualified for a job in the U.S.?']
What was the name of the first person to wear a Tyneside uniform?,['What was the name of the first person to wear a Tyneside uniform in the Super Bowl?']
What was the primary color used by the congregation?,['What is the primary color of the cross between the Rhine and the lower part of the Danube?']
"What does the term ""teleautomaton"" mean?","['What does the term ""teleautomaton"" refer to when referring to a person who is below the poverty line?']"
"What does the term ""reserve army of labour"" refer to?","['What does the term ""reserve army of labor"" refer to?']"
What was the name of the initiative by the Red Cross?,['What was the name of the group that was responsible for the destruction of the church in the 16th century?']
What did the All-Channel Receiver Act mandate?,['What did the All-Channel Receiver Act mandate in regards to the use of UHF technology in the United States?']
Who was the most widely read author of the period?,['Who was responsible for the increase in the number of people who died in the Great Fire of 1883?']
What was the name of the first manned mission to orbit another body?,['What was the name of the organization that was responsible for the launch of the first manned mission to the Moon?']
When did John Forster create Hutchinson Hall?,"['In what year did John Forster donate over 18,000 books to the University of Notre Dame?']"
Who created the Becket Casket?,['In what year was the Becket Casket opened?']
In what country was Börte kidnapped?,['What was the name of the group that took over control of the South of the Tehachapis?']
What is the name of the state religion of the United Kingdom?,['What was the main reason for the decline in the number of schools and universities in the area?']
What is the name of the person who created the Standard Industrial Classification?,['What is the name of one of the three subsectors of the Standard Industrial Classification system that is used to determine the status of a person?']
When was The Untouchables released?,"[""In what year was 'The Untouchables' first aired?""]"
"Who created the name ""Oxygen""?",['What was the name of the group that was responsible for the creation of the Apollo mission?']
Where was the 'Phags-pa' script created?,"[""Where was the 'Phags-pa' script used?""]"
What type of structure is the Tower District?,['What is the name of the area in which the Aeolipile was first used?']
In what year did the Great Internet Mersenne Prime Search begin?,['In what year did the Great Internet Mersenne Prime Search project launch?']
What was the name of the Doctor's former employer?,['What is the name of the fictional character that was the subject of the first episode of The Black Cloister?']
Who created The Reign of Terror?,['What was the name of the company that created the original version of the film?']
Who was the founder of the UMC?,['What was the name of the organization that was responsible for the creation of the United Methodist Church?']
What did the tax collector who arrested him do?,['What did the tax collector who arrested Thoreau say was the cause of his downfall?']
What was the name of the company responsible for the study?,['What was the name of the multinational team that investigated the spread of the plague in the late 19th century?']
What is the name of the method used by some of the most important European countries?,['What is the name of the process in which a pathogen tries to hide within the body of a person?']
Who created the Edict of Nantes?,['What was the name of the name of the person who took over the role of the Lord of the Isles?']
What does the EACC stand for?,"['What is another name for the ""third use of the law?""']"
What was the name of the first television station in the US?,['What was the name of the first radio station in the United States to use the name of a member of the British Isles?']
What does KCPE stand for?,['What is the name of the entity in which the Uighurs of the Kingdom of Qocho are ranked higher than the Karluk Kara-Khanid?']
What was the name of the first person to receive a master's degree?,"[""What was the name of the first person to receive a Master's degree from the University of Notre Dame?""]"
What is the name of the major US television network?,['What is the name of the major US television network that is based in the city of Boston?']
Who was the original head of the All India Muslim League?,['Who was the head of the All India Muslim League at the time of its inception?']
Who was responsible for the creation of the Congress Hall?,"['What was the name of the famous scientist who proposed that the rainforest was reduced to small, isolated refugia?']"
What was the name of the governing body of the American Football Conference?,['What was the name of the organization that allowed the use of Roman numerals for the first time in the history of the United States?']
What is the term for the collection of instances in the British Isles?,['What is the name of the system used by the British in relation to the political process of the Congo?']
What is the name of the scientific study of the human body?,['What is the name of the scientific term used to describe the relative strength of gravity in the United States?']
What is the name of the United Kingdom's last surviving news cinema?,"[""What is the name of the United Kingdom's last surviving private owned news cinema?""]"
What is the name of the state bird?,['Who was responsible for the introduction of the new version of the theme in the 2007 series?']
How many studies did the Royal College of Science have?,"['How many studies did the Royal College of Science have in regards to the use of the term ""prevalent"" in their name?']"
Who was the leader of the FIS?,['What type of box did BSkyB begin to use in January 2010?']
What was the total number of books in the collection?,['What was the total number of books that were given to the museum in 1869?']
What year was the French Revolution?,['In what century was the French Revolution?']
Who is responsible for the preservation of public order?,"[""What is the name of the person who is responsible for the destruction of the city's public order?""]"
In what city did the First Palestine Intifada take place?,['What was the name of the group that was formed by the First Palestine Intifada?']
What are the names of the two people who discovered the first set of decision problems?,['What were the names of the three people who were responsible for the formation of the first four divisions of the German empire?']
Who was responsible for the creation of the modern alternating current system?,['Who was responsible for the creation of the modern version of the AC?']
When was the first public library created?,['What was the name of the period in which Lefevre was president of the company?']
Who owns V/Line?,['What is the name of the organization that oversees the collection of the V&A and Widex?']
Who was the first military governor of Florida?,['What was the name of the first non-deterministic Turing machine in the United States?']
Who established the Eleutherian gunpowder mills?,['Who was the founder of the Eleutherian gunpowder mills in the late 19th century?']
What is the term used for the destruction of the Holy Roman Empire?,['What is the term used to describe the effects of the removal of the Ottoman Caliphate on the human body?']
How many wins did The Flintstones have?,['How many wins did the BAFTA Cymru Awards give to the first person to play in a Super Bowl?']
What was the name of the civil war against Tugh Temür?,['What was the name of the civil war in which Tugh Temür fought against the Chinese?']
When did the United Methodist Church begin?,['What is the name of the area in which the United Methodist Church is based?']
In what year did Frédéric move to the city?,['In what year did Frédéric move to the city of Saint Petersburg?']
Who was the first American to win the Nobel Prize in Economic Sciences?,['Who was the first American to win the Nobel Memorial Prize?']
What is the Khwarezmia?,"['What is the name of the organization that created the ""Crash the Super Bowl""?']"
When did the Jin dynasty begin?,['What was the name of the person who was the first person to receive the award for being the best in the world?']
What does the doctrine of legitimate expectation stand for?,"['What does the term ""preparatory"" refer to in English?']"
What is the name of the ctenophore?,['What is the name of the ctenophore that was used in the construction of the new museum?']
What was the name of the company in which the four Devonshire Hunting Tapestries were made?,['What was the name of the company in which the four Devonshire Hunting Tapestries were discovered?']
What organization did Robert Watson work for?,"[""What is the name of the organization that manages the affairs of the University of Chicago's student body?""]"
What was the name of the company that created the TARDIS?,['What was the name of the company that developed the TARDIS in 1998?']
"What does the term ""core"" mean?","['What is the abbreviation for the abbreviation for ""core"" treaties?']"
Who created the Kuznets curve?,['What is the name of the most commonly used method of reducing the number of people in a given country?']
Who was the leader of the Manned Spacecraft Center?,['Who was the head of the Manned Spacecraft Center at the time of the first two shows?']
Who is responsible for the destruction of the Vistula terraces?,['What two groups of people are responsible for the destruction of the Vistula terraces?']
Who developed the Acasta gneiss?,['Who built the Acasta gneiss in 1862?']
Who was the president of the European Commission in 1951?,['Who was the president of the European Commission at the time of the change in format?']
Who was responsible for the discovery of the yellow fever virus?,['What was the name of the man who discovered the yellow fever virus?']
When did the removal of the black death occur?,['What was the reason for the delay in the introduction of the new method of using the fuel?']
What type of motion does high tide cause?,['What was the name of the entity that controlled the development of the electric motor?']
What does the Great Internet Mersenne Prime Search project stand for?,['What does the Great Internet Mersenne Prime Search project call its work?']
What was the name of the film produced by Steven Spielberg?,['What was the name of the film that was the first to be shown in the movie?']
When did the A167 originate?,['On what date did the A167 become a part of the network?']
What does the Riemann hypothesis mean?,['In what year was the Riemann hypothesis first proposed?']
Who was responsible for the naming of the new Scottish Parliament Building?,"[""What was the name of the company that produced the first two episodes of the BBC's Doctor Who show?""]"
Who is the European Union agency for external border security?,['What is the name of the agency that oversees the affairs of the United States?']
What are the main growth sectors of the economy?,['What are the names of the two main growth sectors in the city?']
What is the name of the group that is responsible for the creation of the EIC?,['What is the name of the group that is responsible for the increase in the number of members of the Royal Institute?']
What is the name of the first self-sustained man-made nuclear reaction?,['What is the name of the first self-sustained man-made nuclear reaction in the history of the world?']
What is the average amount of first downs in a Super Bowl?,['What is one of the main reasons for the decrease in the number of people in the world?']
What type of system does the United States use?,['What type of system does the United Methodist Church believe is best for the health of the people?']
Who built the Bank of America Tower?,['What is the name of the building that is to become the home of the University of Florida?']
"In what year was the term ""Imperialism"" first used?","['In what year was the term ""Imperialism"" introduced to the public?']"
In what year did the V&A Theatre & Performance galleries open?,['What is one of the reasons the V&A Theatre & Performance galleries opened?']
Who created the concept of political Islam?,['Who did George Low believe was responsible for the rise of political Islam in the US?']
What is one of the reasons for the rise in the popularity of The Three Doctors?,['What is the name of the term used to describe the differences between the two groups of people in relation to each other in relation to their work?']
What is the name of the person who initiated the St. Barts?,"[""What is the name of the person in charge of the first phase of the St. Barts' Day Massacre?""]"
Who was the leader of the British East India Company?,['Who was the leader of the British East India Company at the time of its inception?']
In what year did Derrick Norman Lehmer die?,"[""What is another name for the middle layer of a ctenophore's skin?""]"
How many membranes does the chloroplast have?,['How many membranes does the chloroplast need to be in order to be considered a viable alternative to the original?']
What is another name for the double bond?,['What is the name of the term used to describe the formation of the double bond in the United Kingdom?']
What was the name of the team that was asked to change their uniforms?,"['What was the name of the person who was asked to return to the role of the ""Time Lady?""']"
What is the average age of people in Scotland?,['What is the average age of a person living in the UK?']
Who designed the Hereford Screen?,['In what year was the T.T. Tsui Gallery opened?']
"What is another name for the ""ordinary legislative procedure""?",['What was the name of the company that was responsible for the creation of the Schmalkaldic League in 1914?']
Who led the expedition?,['Who was the leader of the French invasion of what country in 1545?']
When was the Interstate Highway System created?,['In what decade did the Interstate Highway System begin?']
What is another name for a dry type cooling tower?,['What is another name for the dry type of cooling tower in Australia?']
Who was responsible for the spread of the disease?,['What was the name of the person that was responsible for the spread of the plague?']
What is the main weakness of the European Council?,['What is one of the main reasons for the existence of the DAL?']
What was the name of the company that was responsible for the invention of the transistor?,['What was the name of the company that was responsible for the creation of the modern alternating current system in the Netherlands?']
Who created the Seven Years' War?,['Who was the third richest person in the world?']
What type of architecture is the Ctenophora?,['What is the name of the type of metal used in the construction of the Royal Castle in the early 20th century?']
Who was responsible for the creation of the Second Polish Republic?,"[""What was the name of the equipment used to record the Moon's landing?""]"
When did the first direct elections take place?,['In what year did the first direct elections take place for the Muslim world?']
What was the name of the system used to locate submarines?,['What was the name of the system used to create the first public data network?']
What was the name of the first human spaceflight mission?,['What was the name of the first private school in the United States to be able to operate?']
What was the name of the first television station in the United States?,"['What was the name of the first television station in the United States to use the term ""the game""?']"
What was the name of the American Broadcasting Company?,['Who owned the rights to the name of the American Broadcasting company?']
"What was the name of the company that launched the ""Small Business Big Game""?","['What was the name of the company that launched the ""Small Business Big Game"" in 2001?']"
"What does the term ""plastoglobulus"" mean?","['What does the term ""plastoglobulus"" mean in English?']"
Who was responsible for the creation of the TARDIS?,['What was the name of the company that was responsible for the creation of the TARDIS?']
What is the name of the group of algae that contain a red-algal derived chloroplast?,['What is the name of the group of algae in which BSkyB is involved?']
In what year was the Great Administration established?,['In what year did Güyük become the Great Khan?']
What is the name of the tool used in the construction of Fort Carillon?,['What is the name of the tool used by the French to control the flow of water in a mine?']
What is the name of the section of the station that was designed by John Dobson?,['What was the name of the person who designed the modern day version of the modern day version of the modern day version of the modern day version of the']
What was the name of the company that sponsored the 50th Super Bowl?,['What was the name of the company that sponsored the first Super Bowl in the United States?']
What is the name of the river that divides the city?,['What is the name of the major tributary of the St. Johns River in the United States?']
"What does the term ""science village"" mean?",['In what year did Duke William II of Normandy attack King Harold II?']
Who makes up the majority of the Council?,['What is the name of the group that makes up the Executive Committee of Notre Dame?']
What is the name of the name of the museum located in New York City?,['What is the name of the name of the museum located in the city of London?']
Who created the original theme?,['What was the name of the person who created the original theme for the first time in the history of the world?']
Who did the European Court of Justice decide to cancel?,['Who did the European Court of Justice decide would be the best alternative to the traditional model of the MCA?']
What was the name of the device used by Thomas Savery?,['What was the name of the device used by Thomas Savery to demonstrate the safety of the environment?']
When were the two top stories of the facade of Sir Paul Pindar's house?,"[""When were the two top stories of the facade of Sir Paul Pindar's house taken down?""]"
What was the name of the person who commanded the 3 Tumens?,['What is the name of the person who commanded the 3 Tumens at the time of the incident?']
What was the name of the three main sectors of construction?,"[""What was the name of the three main sectors of the European Union's construction?""]"
What was the name of the British progressive folk band?,['What was the name of the British progressive folk-rock band that performed at the V&A?']
What was the name of the piece of equipment used to store and transmit both gaseous and liquid oxygen?,['What was the name of the piece of equipment used to store and transmit both gaseous and liquid oxygen in the early 1990s?']
What is the name of the county seat of the United States?,"['What is the name of the organization that oversees the use of the term ""transitional elder""?']"
How much did the Milton Friedman Institute cost?,['How much did the Milton Friedman Institute cost to construct?']
Who is the most popular American football player?,['What was the name of the American football team that was the most popular in the 1950s?']
Who redesigned the central garden?,['What was the name of the company that was responsible for the destruction of the city?']
"When was the first man-made, self-sustaining nuclear reaction?","['On what date was the first man-made, self-sustaining nuclear reaction discovered?']"
What is the name of the term used to describe the relationship between the two groups?,"['What is the name of the term used to describe the amount of time spent in the field of science, philosophy, history, and empirical observation that a person can have?']"
"What does the term ""antigens"" refer to?","['What does the term ""antigens"" refer to when referring to the unreliable agricultural sector?']"
Who wrote 'The Trial of a Time Lord'?,['Who was the author of the 1986 book The Trial of a Time Lord?']
What was the purpose of the new arrangement?,['What was the name of the first group of people to arrive at the new school?']
When was the Lewis S. Eaton trail system created?,['When was the Lewis S. Eaton trail created?']
What type of hermaphrodites are there?,['What type of hermaphrodites are most commonly found in Australia?']
How many languages does the US have?,['How many different types of networks does the US have?']
What is the main difference between the two groups?,['What is one of the main reasons for the increase in the number of people in the population of the United Kingdom?']
Who was responsible for the introduction of the Ten Commandments?,['What was the name of the person who was responsible for the introduction of the Ten Commandments in the UK?']
What does the term PAMPs refer to?,['What are the names of the three main types of drugs used to treat cancer?']
What was used to determine the ages of plutons?,['In what year did the Virginia General Assembly pass a law that allowed the use of what type of tool?']
What was the name of the group in question?,['What was the name of the group that was responsible for the loss of the majority of the members of the council?']
What was the name of the computer system used by the government?,['What was the name of the computer system used to create the paper money of the British empire?']
In what year was the Dornbirner Ach formed?,['In what year did the Dornbirner Ach become a part of the European Union?']
In what year did the UK become a member of the European Union?,['What was the name of the institution that allowed private citizens to use the language of the Bible?']
Who was the leader of the Swiss Reformation?,['What was the name of the person who was responsible for the increase in the number of people in the United States?']
What is the name of the oldest non-Christian religion?,['What is the name of the oldest known non-Christian religion in the United States?']
What year did Toghtogha lead a large army?,['What year did Toghtogha lead a large army in the fight for the right to be a member of the United States?']
Who was the leader of the Salvation Army?,"['What did the General Conference on Weights and Measures name the ""Tesla"" in honor of the founder of the Salvation Army?']"
What is the name of the group responsible for the assassination of Anwar Sadat?,['What type of cells make up the majority of the units at the University?']
What was the name of the Germanic version of the Tyneside?,['What was the name given to the Germanic version of the Tyneside Bar?']
Where did the Battle of Lake George take place?,['What was the name of the location of the Battle of Lake George in the book?']
What does the Treaty on the Functioning of the European Union protect?,['What does the Treaty on the Functioning of the European Union say about the rights of citizens?']
In what year was the Tower Theatre built?,['What did the Troupes de la marine promise to the citizens of the city?']
What was the cost of the merger?,['In what year did the U.S. move its headquarters from Kraków to the city of Warsaw?']
"What is another name for ""the Turk""?",['What is the maximum amount of time a T cell can be allowed to be used in a single case?']
In what year was the World's Fair held?,"[""What was the name of the group of people who attended the World's Fair in Chicago?""]"
"In what year was the ""Small Business Big Game"" published?","['What was the name of the ""Small Business Big Game"" that was released by the US government?']"
"What does the term ""internal colonialism"" refer to?","['What does the term ""internal colonialism"" refer to in relation to the use of foreign goods?']"
When did the last crew leave the station?,['When did the last crew of the All India Muslim League arrive in St. Barts?']
What are the names of the two major companies that operate in the area?,['What was the name of the two companies that created the new version of the Super Bowl?']
What was the original focus of the Reformation?,['What type of religious beliefs did Frédéric believe were important to the spread of the Holy Roman Empire?']
In what year was the East India Company founded?,['In what year did the British establish a monopoly on the sale of coal in the UK?']
What type of style of architecture did the British use?,['What type of style of construction was used in the construction of the new fort?']
What was the origin of the chao?,['In what year did the LOR method begin to be used?']
In what city did the World's Columbian Exposition take place?,['What is the name of the area where a dry type cooling tower is used?']
What does the CPI stand for?,"['What is the name of the term used to describe the use of the term ""non-revolutionary"" in English?']"
Who was responsible for the destruction of Fort Beauséjour?,['Who was responsible for the destruction of Fort Beauséjour in 1756?']
What is the official record high temperature for the city?,['What is the name of the city in which many of the lost episodes occur?']
What was the name of the first major city in the area?,['What was the name of the first major city in the history of the world to have a large amount of oxygen?']
What was the name of the BAFTA TV Awards?,['What was the name of the BAFTA TV award given to the first person to be a member of the original group?']
Who was the leader of the Mongolian Borjigin clan?,['Who was the leader of the Mongolian Borjigin clan in the early 20th century?']
Who was the ruler of the Keraites?,['What is the name of the person who was responsible for the destruction of the Keraite ship?']
What is the name of the district in southern California?,['What was the name of the city where the first full-scale working railway locomotives were built?']
What is the largest single sensory feature in the collection?,['What does the Court of Justice of the European Union have to do with the issue of the aboral organ?']
Who was the first person to fly in space?,['What was the name of the region in which Gagarin was the first person to fly?']
What is the name of the VOD service called?,['What is the name of the VOD service in which the MHC:antigen complex is found?']
What is the Human Development Index?,['What type of locomotive was used for the first time in the United Kingdom?']
What is the name of the interdenominational group composed of various churches?,['What is the name of the interdenominational group composed of various churches in the tradition of John Wesley that promotes the Gospel?']
What was the name of the first successful credit card?,['What was the name of the new version of the Small Catechism that was created by the Chinese?']
Who was responsible for the loss of the Battle of Jumonville Glen?,['Who was responsible for the loss of the Battle of Jumonville Glen in the late 19th century?']
"Who was the author of the book ""The Closing of the American Mind""?",['What company was awarded a contract to build a two-phase AC system in the fall of 1725?']
In what century was the Yarrow-Schlick-Tweedy balancing system used?,['In what century did the Yarrow-Schlick-Tweedy balancing system become popular?']
What was the name of the American actor who played the role of the Master?,['What was the name of the American actor who played the role of the Master in the 1996 film?']
What does the acronym TCR stand for?,['What is the name of the group in which Gamma delta T cells are responsible for the majority of the time spent in the United States?']
"In what country was the ""Rhine-kilometer"" introduced?","['In what country was the ""Rhine-kilometer"" first used?']"
What was the name of the second K-12 private school?,['What was the name of the second K-12 private school that was created by Charles Lyell?']
Who is the name of the oldest and largest music school in the world?,['What is the name of the oldest and largest music school in Poland?']
What was the name of the company that produced the anti-Semitic works?,"[""What was the name of the company that produced the original version of the Newcomen's?""]"
When was the second half of The Invasion released?,['What was the original name of the northern portion of the River of the Congo?']
Where is the French Protestant Church of London located?,['What is the name given to the French Protestant Church of London?']
When did the St. Elizabeth's flood occur?,"[""What was the name of the area where the St. Elizabeth's flood occurred?""]"
In what year did Tesla die?,['What was the name of the person who was responsible for the death ray?']
What is the name of the formal design team?,['What is the name of the formal design team of the University of Chicago that is responsible for the creation of the Moon?']
What is another name for the carotenoid pigment?,['What was the size of the population of the Jameel Gallery of Islamic Art by the end of the 17th century?']
Who was the first modern geologist?,"['Who was the first modern geologist to use the term ""prehistoric"" in reference to the area?']"
How many items are in the collection?,"['What does the term ""chloroplasts"" mean in English?']"
What is an example of an example of a progressive tax?,['What is an example of an example of an example of an example of an example of an example of an example of an example of an example of an example of an example of an example of an']
When was the concept of legal certainty established?,['How long has the concept of legal certainty been in use?']
What did the Royal Proclamation of 1763 do?,['What did the Royal Proclamation of 1763 say about the people of the area?']
What is the name of the condition in which the Second Doctor underwent?,['What is the most recent example of an example of an example of an example of an example of an example of an example of an example of an example of an example of an example of an example of an example of an example of an example?']
Where was the Command Module located?,['What was the name of the first radio drama to be aired in the UK?']
"In 2011, what was the value of the private sector?",['What is the name of the group that is responsible for the increase in the number of deaths in the United States?']
What is the name of the process by which the majority of the population of the United States is affected?,['What is the name of the process by which the majority of the population of the United States is affected by the decline in the number of people in the population of the world?']
What was the name of the book written by Robert Maynard Hutchins?,['What was the name of the book published by the American Philosophical Society in 1961 that criticized the practice of using the same methods as the other']
"What does the term ""civil disobedience"" mean?","['What are some of the main uses of the term ""civil disobedience""?']"
What are the three main sources of European Union law?,['Which of the three main sources of European Union law are considered to be the most important?']
What is the name of the largest private school in the world?,['What is the name of the only Jewish synagogue in the country?']
What is the name of the collection of non-deterministic machines?,['What is the name of the collection of non-deterministic pieces of art in the collection of the Manned Spacecraft Center?']
"What is the abbreviation for ""secretions""?",['What was the name of the external interface used by the Apollo 11 crew?']
In what year did the General Conference begin?,['What was the name of the first European to travel the length of the Atlantic Ocean?']
"What does the term ""Seven Years' War"" refer to?","['What does the term ""Seven Years\' War"" refer to in English?']"
Who created the series Torchwood?,['Who was responsible for the increase in the number of people in the population of the UK?']
Who is the current head of KU?,['Who is the current head of the Westinghouse Electric & Manufacturing company?']
What was the name of the person who was responsible for the loss of Fort Beauséjour?,['What was the name of the person who was responsible for the loss of Fort Beauséjour to the British?']
What does the Sieve of Eratosthenes mean?,['What does the Sieve of Eratosthenes mean to the people of the area?']
When was the Royal University of Warsaw established?,['In what century did the Royal University of Warsaw begin?']
"What is another name for the term ""genghis Khan""?","['What is another name for the term ""genghis"" that refers to a person who is constantly changing their body?']"
"Who was the first person to use the name ""The Million""?",['Who was the first person to use the name of the new system of education?']
What is the name of the city where most people live?,['What is the name of the city where the majority of the population lives in the United States?']
What was the name of the group that was responsible for the development of the area?,['What was the name of the group that was responsible for the development of the Alta Vista Tract in the early 20th century?']
What was the name of the largest indoor shopping center in Europe?,['What was the name of the largest indoor shopping center in the world?']
What are the two major subtypes of T cells?,['What is the name of the group of T cells that was formed during the mid-eocene?']
What was the name of the agreement between the two parties?,['In what treaty did the Federal Communications Commission decide to remove the original peridinin chloroplast from the system of government?']
In what language was the Kalven Report written?,['What was the name of the person who suggested that the alga Cyanophora should be considered a primitive intermediate between cyanobacteria and the more evolved chloroplasts?']
Who created the S-IVB?,['Who created the second stage of the S-IVB-1?']
What are some examples of what type of barriers?,['What are some examples of what type of barriers? ']
What was the name of the first episode of Time for Reflection?,['What was the name of the first episode of The Late Late Show with James Corden that aired on CBS?']
What did the Plowshares organization do?,['What is the name of the term used to describe a situation in which two different branches of government are involved?']
Who gave the request for proposals?,['What was the name of the person who gave the request for proposals for the LEM project?']
"What does the term ""genius"" mean?","[""What is the name of the company that is responsible for the creation of the majority of the world's population?""]"
